capture_2025-10-04T10:46:19.955Z.jpg,,1
capture_2025-10-04T10:46:20.695Z.jpg,,1
capture_2025-10-04T10:46:25.732Z.jpg,,1
capture_2025-10-04T10:46:28.707Z.jpg,,1
capture_2025-10-04T10:46:32.685Z.jpg,,1
capture_2025-10-04T10:46:36.715Z.jpg,,1
capture_2025-10-04T10:46:41.577Z.jpg,,1
capture_2025-10-04T10:46:45.567Z.jpg,,1
capture_2025-10-04T10:46:49.686Z.jpg,,1
capture_2025-10-04T10:46:55.717Z.jpg,,1
capture_2025-10-04T10:46:57.625Z.jpg,,1
capture_2025-10-04T10:47:01.647Z.jpg,,1
capture_2025-10-04T10:47:04.737Z.jpg,,1
capture_2025-10-04T10:47:09.534Z.jpg,,0
capture_2025-10-04T10:47:18.934Z.jpg,,0
capture_2025-10-04T10:47:20.061Z.jpg,,0
capture_2025-10-04T10:47:21.988Z.jpg,,0
capture_2025-10-04T10:47:26.528Z.jpg,,4
capture_2025-10-04T10:47:38.147Z.jpg,,0
capture_2025-10-04T10:47:41.558Z.jpg,,0
capture_2025-10-04T10:47:43.683Z.jpg,,0
capture_2025-10-04T10:47:47.416Z.jpg,,0
capture_2025-10-04T10:47:49.007Z.jpg,,0
capture_2025-10-04T10:47:53.034Z.jpg,,0
capture_2025-10-04T10:47:53.358Z.jpg,,0
capture_2025-10-04T10:47:57.905Z.jpg,,0
capture_2025-10-04T10:48:05.907Z.jpg,,0
capture_2025-10-04T10:48:06.288Z.jpg,,0
capture_2025-10-04T10:48:08.706Z.jpg,,0
capture_2025-10-04T10:48:12.614Z.jpg,,0
capture_2025-10-04T10:48:16.597Z.jpg,,0
capture_2025-10-04T10:48:21.620Z.jpg,,0
capture_2025-10-04T10:48:25.475Z.jpg,,0
capture_2025-10-04T10:48:28.575Z.jpg,,0
capture_2025-10-04T10:48:32.715Z.jpg,,0
capture_2025-10-04T10:48:36.726Z.jpg,,0
capture_2025-10-04T10:48:40.642Z.jpg,,1
capture_2025-10-04T10:48:44.720Z.jpg,,1
capture_2025-10-04T10:48:48.586Z.jpg,,1
capture_2025-10-04T10:48:52.751Z.jpg,,1
capture_2025-10-04T10:48:56.644Z.jpg,,0
capture_2025-10-04T10:49:00.716Z.jpg,,0
capture_2025-10-04T10:49:04.699Z.jpg,,0
capture_2025-10-04T10:49:08.585Z.jpg,,0
capture_2025-10-04T10:49:12.609Z.jpg,,0
capture_2025-10-04T10:49:16.694Z.jpg,,0
capture_2025-10-04T10:49:20.569Z.jpg,,0
capture_2025-10-04T10:49:24.601Z.jpg,,0
capture_2025-10-04T10:49:28.670Z.jpg,,0
capture_2025-10-04T10:49:32.553Z.jpg,,0
capture_2025-10-04T10:49:36.565Z.jpg,,0
capture_2025-10-04T10:49:40.551Z.jpg,,0
capture_2025-10-04T10:49:44.667Z.jpg,,0
capture_2025-10-04T10:49:48.648Z.jpg,,0
capture_2025-10-04T10:49:52.555Z.jpg,,0
capture_2025-10-04T10:49:56.555Z.jpg,,0
capture_2025-10-04T10:50:00.706Z.jpg,,0
capture_2025-10-04T10:50:04.543Z.jpg,,0
